categoria,titulo,resumen,autor,enlace
Mercados Financieros,¿Cuál será el nuevo Ozempic? El mercado acelera la búsqueda de la siguiente revolución en la lucha contra la obesidad,"Los analistas miran con atención el desarrollo de nuevos fármacos, ante la promesa de un mercado que puede alcanzar los 150.000 millones en 2030",Leandro Hernández,https://cincodias.elpais.com/mercados-financieros/2025-02-10/quien-sera-el-nuevo-ozempic-el-mercado-acelera-la-busqueda-de-la-siguiente-revolucion-en-la-lucha-contra-la-obesidad.html
Smoda,Flechazos de San Valentín: 12 cosméticos y perfumes icónicos que “nos encantan” para regalar (y enamorar),No disponible,No disponible,https://elpais.com/smoda/2025-02-07/flechazos-de-san-valentin-12-cosmeticos-y-perfumes-iconicos-de-el-corte-ingles-que-nos-encantan-para-regalar-y-enamorar.html
Cultura,"Mil millones de pesetas por Mecano, el milagro de ‘Black Is Black’ y otras interioridades de la industria del pop",Manolo Díaz fue pionero en la creación del pop en España y presidente de multinacionales como CBS o Emi. Un libro cuenta su suculenta vida,Jordi Amat,https://elpais.com/cultura/2025-02-10/mil-millones-de-pesetas-por-mecano-el-milagro-de-black-is-black-y-otras-interioridades-de-la-industria-del-pop-espanol.html
Cultura,El Gobierno pone en marcha la esperada reforma del Instituto Nacional de las Artes Escénicas y de la Música,No disponible,Raquel Vidales,https://elpais.com/cultura/2025-02-10/el-ministerio-de-cultura-pone-en-marcha-la-esperada-reforma-del-instituto-nacional-de-las-artes-escenicas-y-de-la-musica.html
Videos,"Joan Manuel Serrat y Jordi Soler en un nido de pájaros: una charla sobre canción, escritura, amistad y exilio",No disponible,Juan Cruz,https://elpais.com/videos/2025-02-10/joan-manuel-serrat-y-jordi-soler-en-un-nido-de-pajaros-una-conversacion-sobre-cancion-escritura-amistad-y-exilio.html?autoplay=1
Espana,Oriol Broggi convierte al trío The Tiger Lillies en las brujas de Macbeth para servir la tragedia escocesa como un poético cabaré,No disponible,Jacinto Antón,https://elpais.com/espana/catalunya/2025-02-10/oriol-broggi-convierte-al-trio-the-tiger-lillies-en-las-brujas-de-macbeth-para-servir-la-tragedia-escocesa-como-un-poetico-cabare-de-sombras.html
Smoda,Estos son los auriculares inteligentes con llamadas nítidas y estables que mejorarán tus conversaciones,No disponible,No disponible,https://elpais.com/smoda/2025-02-10/huawei-freebuds-pro-4-auriculares-inteligentes-con-llamadas-nitidas-y-estables-que-mejoraran-tus-conversaciones.html
Juegos,Crucigrama para expertos,No disponible,No disponible,https://elpais.com/juegos/crucigramas/experto/
Juegos,Crucigrama Mambrino,No disponible,No disponible,https://elpais.com/juegos/crucigramas/mambrino/
Juegos,Sudoku para expertos,No disponible,No disponible,https://elpais.com/juegos/sudokus/experto/
Juegos,Palabra secreta,No disponible,No disponible,https://elpais.com/juegos/palabra-secreta/diaria/
Gastronomia,"Dónde come el director del Basque Culinary Center, Joxe Mari Aizega, en San Sebastián","Recorre la ciudad en busca de huevos Benedict, de una buena tortilla, aconseja ir a un japonés de fusión vasca y siempre regala queso Idiazábal",Paz Álvarez,https://elpais.com/gastronomia/donde-comer/2025-02-10/donde-come-el-director-del-basque-culinary-center-joxe-mari-aizega-en-san-sebastian.html
